drug_name,num_prescriber,total_cost
ADVAIR DISKUS,40,994689
SPIRIVA,34,976148
HARVONI,2,965333
LANTUS SOLOSTAR,32,800702
JANUVIA,32,768981
CRESTOR,41,759214
NEXIUM,37,747819
LANTUS,33,611970
SYMBICORT,32,527809
LEVEMIR FLEXTOUCH,20,472543
TRUVADA,4,451907
LYRICA,32,446979
ENBREL,4,386665
HYDROCODONE-ACETAMINOPHEN,85,342163
RESTASIS,10,328084
NOVOLOG FLEXPEN,17,308114
ATRIPLA,5,297805
DICLOFENAC SODIUM,25,286723
NAMENDA XR,13,286618
LEVOTHYROXINE SODIUM,65,277840
XARELTO,19,275316
ABILIFY,9,270721
REYATAZ,4,266387
ZETIA,20,265158
PREZISTA,5,255763
PROAIR HFA,52,240237
DULOXETINE HCL,45,222745
NOVOLOG,12,207603
COMBIVENT RESPIMAT,21,203952
HUMIRA PEN,3,202984
ATORVASTATIN CALCIUM,63,202184
VICTOZA 3-PAK,9,184334
OXYCONTIN,11,183666
GABAPENTIN,65,182619
POTASSIUM CHLORIDE,48,181103
LUMIGAN,6,177544
SUBOXONE,4,170815
DEXILANT,16,169694
STRIBILD,5,168805
METOPROLOL SUCCINATE,48,166178
HUMALOG KWIKPEN U-100,9,166077
OMEPRAZOLE,60,165640
LEVEMIR,8,161929
ISENTRESS,3,154290
HUMALOG,10,151724
TAMSULOSIN HCL,48,149658
TIVICAY,5,140991
OXYCODONE-ACETAMINOPHEN,42,140769
VESICARE,19,138731
PRAVASTATIN SODIUM,50,133176
HYDROXYCHLOROQUINE SULFATE,9,132300
AVODART,10,131965
INVOKANA,10,131526
PRADAXA,6,129041
NAMENDA,13,128403
GLEEVEC,1,125459
LINZESS,9,123495
CELECOXIB,22,123116
BUPHENYL,1,121378
FENOFIBRATE,28,118853
TRIUMEQ,2,117868
ELIQUIS,9,117692
NORVIR,4,116889
PREMARIN,17,116619
TRADJENTA,8,114897
FENTANYL,20,112274
TRAVATAN Z,8,111498
ZEMAIRA,1,107114
COMPLERA,2,106477
FORTEO,1,102605
BENICAR,12,99962
EXELON,7,96522
VALSARTAN,28,95957
RALOXIFENE HCL,14,95664
LISINOPRIL,68,95192
EPZICOM,3,93447
AMLODIPINE BESYLATE,63,91567
DULERA,9,88006
INVEGA SUSTENNA,1,85811
SIMVASTATIN,58,84302
ANDROGEL,6,83946
WELCHOL,8,80842
ULORIC,9,79233
MYRBETRIQ,7,78913
ARIPIPRAZOLE,6,78393
NOVOLOG MIX 70-30 FLEXPEN,5,77053
NOVOLIN 70-30,8,75449
LOSARTAN POTASSIUM,53,73791
AMITIZA,7,73500
ONGLYZA,6,71720
OXYCODONE HCL,23,68904
CREON,5,68737
XELJANZ,1,68651
COMBIGAN,9,66382
PANTOPRAZOLE SODIUM,50,66257
RANEXA,9,66198
DALIRESP,5,65959
JANUMET,9,64806
OMEGA-3 ACID ETHYL ESTERS,16,64448
XIFAXAN,2,63532
DOXYCYCLINE HYCLATE,32,62703
LATUDA,4,61069
WARFARIN SODIUM,40,60916
ESOMEPRAZOLE MAGNESIUM,11,60744
METHOTREXATE,11,60605
BYSTOLIC,13,60168
METFORMIN HCL ER,31,59264
HUMULIN 70-30,8,57754
EXTAVIA,1,57607
METFORMIN HCL,60,56820
INTELENCE,3,56450
FLOVENT HFA,12,55876
MORPHINE SULFATE ER,18,55460
ALLOPURINOL,39,55058
MONTELUKAST SODIUM,35,54424
COLCRYS,10,54340
FLUTICASONE PROPIONATE,50,53991
CUBICIN,1,52886
VENTOLIN HFA,27,52360
SYNTHROID,26,51917
TUDORZA PRESSAIR,7,51729
CLOPIDOGREL,43,51600
GLUMETZA,1,51106
BD ULTRA-FINE PEN NEEDLE,22,49877
OXYBUTYNIN CHLORIDE ER,31,49671
COLCHICINE,9,49122
BENICAR HCT,10,48426
ABILIFY MAINTENA,1,48177
PREDNISOLONE ACETATE,7,48003
FUROSEMIDE,55,46750
ILEVRO,1,46288
BREO ELLIPTA,3,45535
TRAMADOL HCL,52,44205
RENVELA,3,43680
ESCITALOPRAM OXALATE,40,43615
ALPRAZOLAM,54,43398
METOPROLOL TARTRATE,54,43206
JANUMET XR,3,42892
AMLODIPINE BESYLATE-BENAZEPRIL,19,41739
TOLTERODINE TARTRATE ER,10,41495
QUETIAPINE FUMARATE,35,40463
DIVALPROEX SODIUM ER,11,40068
SPIRIVA RESPIMAT,2,40066
TOVIAZ,7,39753
VOLTAREN,12,39694
RAPAFLO,3,39144
NOVOLOG MIX 70-30,4,38908
MULTAQ,3,38876
LATANOPROST,19,38529
BUPROPION XL,35,38414
NIFEDIPINE ER,22,37997
SANTYL,5,37774
LANSOPRAZOLE,20,37211
DONEPEZIL HCL,30,37105
ENOXAPARIN SODIUM,5,36977
HYDROCHLOROTHIAZIDE,56,36898
LAMICTAL,1,36472
CARVEDILOL,49,35135
VYTORIN,8,34918
RANITIDINE HCL,41,34744
VIGAMOX,2,33245
PATADAY,5,33101
ZOLPIDEM TARTRATE,40,32941
ADVAIR HFA,5,32887
DELZICOL,2,32755
SERTRALINE HCL,52,32514
VENLAFAXINE HCL ER,34,32357
PREDNISONE,54,32338
EFFIENT,5,32159
KALETRA,2,31540
PENTASA,1,31300
PIOGLITAZONE HCL,17,30857
CIALIS,4,30690
PATANOL,3,30683
FLUOXETINE HCL,43,30613
PRISTIQ ER,6,30399
VALSARTAN-HYDROCHLOROTHIAZIDE,22,29879
JALYN,2,29832
ATENOLOL,50,29702
QVAR,5,29612
SUSTIVA,2,29482
ENALAPRIL MALEATE,25,29251
ZIPRASIDONE HCL,6,29111
NIACIN ER,6,28982
ALPHAGAN P,4,28851
BACLOFEN,23,28568
ISOSORBIDE MONONITRATE ER,29,28486
OXYBUTYNIN CHLORIDE,27,28156
GLIMEPIRIDE,34,27816
HUMULIN R U-500,1,27814
PAROXETINE HCL,35,27752
AMITRIPTYLINE HCL,36,27712
BUPRENORPHINE-NALOXONE,3,27241
LOSARTAN-HYDROCHLOROTHIAZIDE,31,27167
VIMPAT,3,27063
VICTOZA 2-PAK,4,26650
MIRTAZAPINE,32,26624
TIZANIDINE HCL,21,26278
DILTIAZEM 24HR ER,10,25692
FINASTERIDE,28,25293
ASMANEX,3,25194
LOVASTATIN,33,25061
DEXTROAMPHETAMINE-AMPHET ER,5,24851
LORAZEPAM,43,24828
DOXAZOSIN MESYLATE,19,24248
SUPREP,2,24233
TRAZODONE HCL,51,24205
HUMALOG MIX 75-25,3,23790
CLOBETASOL PROPIONATE,6,23062
AZOPT,4,22867
LIDOCAINE,5,22865
